,ChEMBLTargetID,ModulatorCount
0,CHEMBL1075092,7
1,CHEMBL1075094,287
2,CHEMBL1075097,197
3,CHEMBL1075101,177
4,CHEMBL1075102,69
5,CHEMBL1075104,2227
6,CHEMBL1075105,4
7,CHEMBL1075113,6
8,CHEMBL1075115,313
9,CHEMBL1075121,8
10,CHEMBL1075126,397
11,CHEMBL1075127,13
12,CHEMBL1075131,1
13,CHEMBL1075132,78
14,CHEMBL1075133,34
15,CHEMBL1075137,2
16,CHEMBL1075138,3574
17,CHEMBL1075144,120
18,CHEMBL1075145,431
19,CHEMBL1075149,17
20,CHEMBL1075152,85
21,CHEMBL1075155,11
22,CHEMBL1075157,3
23,CHEMBL1075162,64
24,CHEMBL1075163,91
25,CHEMBL1075165,183
26,CHEMBL1075166,35
27,CHEMBL1075167,333
28,CHEMBL1075169,4
29,CHEMBL1075173,17
30,CHEMBL1075178,110
31,CHEMBL1075180,3
32,CHEMBL1075181,5
33,CHEMBL1075189,2210
34,CHEMBL1075195,50
35,CHEMBL1075315,48
36,CHEMBL1075317,361
37,CHEMBL1075319,586
38,CHEMBL1075322,569
39,CHEMBL1075323,202
40,CHEMBL1075382,37
41,CHEMBL1075383,50
42,CHEMBL1075384,39
43,CHEMBL1075385,141
44,CHEMBL1075386,62
45,CHEMBL1075387,199
46,CHEMBL1075391,41
47,CHEMBL1075392,73
48,CHEMBL1075393,95
49,CHEMBL1075394,49
50,CHEMBL1075395,34
51,CHEMBL1075396,56
52,CHEMBL1075397,42
53,CHEMBL1075398,50
54,CHEMBL1075399,50
55,CHEMBL1075400,19
56,CHEMBL1075401,80
57,CHEMBL1075402,39
58,CHEMBL1075403,67
59,CHEMBL1075404,82
60,CHEMBL1075405,39
61,CHEMBL1075406,52
62,CHEMBL1075407,29
63,CHEMBL1075408,160
64,CHEMBL1075409,53
65,CHEMBL1075410,50
66,CHEMBL1075411,137
67,CHEMBL1075412,49
68,CHEMBL1075413,45
69,CHEMBL1075414,32
70,CHEMBL1075415,46
71,CHEMBL1075416,46
72,CHEMBL1075417,78
73,CHEMBL1075418,35
74,CHEMBL1075419,29
75,CHEMBL1075421,41
76,CHEMBL1075422,86
77,CHEMBL1075423,53
78,CHEMBL1075425,37
79,CHEMBL1075426,45
80,CHEMBL1075427,35
81,CHEMBL1075428,34
82,CHEMBL1075429,34
83,CHEMBL1075430,36
84,CHEMBL1075431,45
85,CHEMBL1075432,51
86,CHEMBL1075433,36
87,CHEMBL1075434,23
88,CHEMBL1075435,47
89,CHEMBL1075436,40
90,CHEMBL1075437,15
91,CHEMBL1075438,17
92,CHEMBL1075439,44
93,CHEMBL1075440,39
94,CHEMBL1075441,49
95,CHEMBL1075442,37
96,CHEMBL1075443,31
97,CHEMBL1075444,47
98,CHEMBL1075445,52
99,CHEMBL1075446,56
100,CHEMBL1075447,54
101,CHEMBL1075448,70
102,CHEMBL1075449,35
103,CHEMBL1075450,46
104,CHEMBL1075451,43
105,CHEMBL1075452,499
106,CHEMBL1075453,29
107,CHEMBL1075454,38
108,CHEMBL1075455,35
109,CHEMBL1075456,39
110,CHEMBL1075457,157
111,CHEMBL1075458,123
112,CHEMBL1075459,54
113,CHEMBL1075460,47
114,CHEMBL1075461,178
115,CHEMBL1075462,36
116,CHEMBL1075463,457
117,CHEMBL1075464,52
118,CHEMBL1075465,43
119,CHEMBL1075466,46
120,CHEMBL1075467,40
121,CHEMBL1075468,65
122,CHEMBL1075469,37
123,CHEMBL1075470,46
124,CHEMBL1075471,29
125,CHEMBL1075472,46
126,CHEMBL1075475,50
127,CHEMBL1075476,36
128,CHEMBL1075477,68
129,CHEMBL1075478,51
130,CHEMBL1075479,47
131,CHEMBL1075480,19
132,CHEMBL1075481,39
133,CHEMBL1075482,65
134,CHEMBL1075483,40
135,CHEMBL1075484,46
136,CHEMBL1075485,48
137,CHEMBL1075486,54
138,CHEMBL1075487,50
139,CHEMBL1075488,143
140,CHEMBL1075489,57
141,CHEMBL1075490,40
142,CHEMBL1075491,30
143,CHEMBL1075492,12
144,CHEMBL1075493,44
145,CHEMBL1075494,42
146,CHEMBL1075495,50
147,CHEMBL1075496,55
148,CHEMBL1075497,38
149,CHEMBL1075498,35
150,CHEMBL1075499,67
151,CHEMBL1075500,57
152,CHEMBL1075501,76
153,CHEMBL1075502,36
154,CHEMBL1075503,26
155,CHEMBL1075504,34
156,CHEMBL1075505,46
157,CHEMBL1075508,24
158,CHEMBL1075509,56
159,CHEMBL1075510,68
160,CHEMBL1075511,41
161,CHEMBL1075512,30
162,CHEMBL1075513,62
163,CHEMBL1075514,36
164,CHEMBL1075515,37
165,CHEMBL1075516,158
166,CHEMBL1075517,35
167,CHEMBL1075518,204
168,CHEMBL1075519,39
169,CHEMBL1075520,20
170,CHEMBL1075521,34
171,CHEMBL1075522,108
172,CHEMBL1075523,22
173,CHEMBL1075524,35
174,CHEMBL1075525,74
175,CHEMBL1075526,30
176,CHEMBL1075527,181
177,CHEMBL1075528,38
178,CHEMBL1075529,11
179,CHEMBL1075530,50
180,CHEMBL1075531,35
181,CHEMBL1075532,44
182,CHEMBL1075533,125
183,CHEMBL1075534,50
184,CHEMBL1075535,25
185,CHEMBL1075536,549
186,CHEMBL1075537,44
187,CHEMBL1075538,40
188,CHEMBL1075539,39
189,CHEMBL1075540,28
190,CHEMBL1075541,51
191,CHEMBL1075542,95
192,CHEMBL1075543,42
193,CHEMBL1075544,114
194,CHEMBL1075545,124
195,CHEMBL1075546,41
196,CHEMBL1075547,24
197,CHEMBL1075552,40
198,CHEMBL1075553,37
199,CHEMBL1075554,47
200,CHEMBL1075555,55
201,CHEMBL1075556,75
202,CHEMBL1075557,51
203,CHEMBL1075558,34
204,CHEMBL1075560,33
205,CHEMBL1075561,68
206,CHEMBL1075562,38
207,CHEMBL1075563,39
208,CHEMBL1075564,33
209,CHEMBL1075565,36
210,CHEMBL1075566,46
211,CHEMBL1075567,44
212,CHEMBL1075568,38
213,CHEMBL1075569,59
214,CHEMBL1075570,62
215,CHEMBL1075571,52
216,CHEMBL1075573,31
217,CHEMBL1075574,26
218,CHEMBL1075575,79
219,CHEMBL1075576,33
220,CHEMBL1075577,46
221,CHEMBL1075578,68
222,CHEMBL1075579,60
223,CHEMBL1075580,71
224,CHEMBL1075581,37
225,CHEMBL1075582,26
226,CHEMBL1075583,72
227,CHEMBL1075584,87
228,CHEMBL1075585,54
229,CHEMBL1075586,30
230,CHEMBL1075587,38
231,CHEMBL1075588,32
232,CHEMBL1075589,26
