diseaseClasses_MSH,diseaseName,diseaseType,diseaseUMLSCUI,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,geneNcbiID,geneNcbiType,geneProteinClassNames,score,symbolOfGene
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,4129.0,protein-coding,[],1.0,MAOB
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer's Disease,disease,C0002395,,,,,4129.0,protein-coding,[],0.95,MAOB
[Mental Disorders (F03)],Depressive disorder,disease,C0011581,,,,,4129.0,protein-coding,[],0.85,MAOB
[Behavior and Behavior Mechanisms (F01)],Mental Depression,disease,C0011570,,,,,4129.0,protein-coding,[],0.85,MAOB
[Mental Disorders (F03)],Schizophrenia,disease,C0036341,,,,,4129.0,protein-coding,[],0.75,MAOB
[Mental Disorders (F03)],Major Depressive Disorder,disease,C1269683,,,,,4129.0,protein-coding,[],0.75,MAOB
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Alcoholic Intoxication, Chronic",disease,C0001973,,,,,4129.0,protein-coding,[],0.7,MAOB
[Mental Disorders (F03)],Bipolar Disorder,disease,C0005586,,,,,4129.0,protein-coding,[],0.7,MAOB
[Mental Disorders (F03)],Unipolar Depression,disease,C0041696,,,,,4129.0,protein-coding,[],0.65,MAOB
"[Nutritional and Metabolic Diseases (C18), Digestive System Diseases (C06), Nervous System Diseases (C10)]",Hepatic Encephalopathy,disease,C0019151,,,,,4129.0,protein-coding,[],0.65,MAOB
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Mental Disorders (F03)]",Huntington Disease,disease,C0020179,Autosomal dominant,"1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,<1 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,<1 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000","Greece,Worldwide,Worldwide,Europe,Ireland,Italy,Canada,United States,United States,Japan,Australia,Australia,China,China,Slovenia,Taiwan, Province of China,Taiwan, Province of China,Iceland,Iceland,Norway,Sweden,Greece,Finland,Egypt,Cyprus,Cyprus,Denmark,Spain,Spain","Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence",4129.0,protein-coding,[],0.65,MAOB
[Mental Disorders (F03)],Mood Disorders,disease,C0525045,,,,,4129.0,protein-coding,[],0.6,MAOB
[Mental Disorders (F03)],Autistic Disorder,disease,C0004352,,,,,4129.0,protein-coding,[],0.6,MAOB
[Neoplasms (C04)],Extraadrenal pheochromocytoma,disease,C1257877,,,,,4129.0,protein-coding,[],0.4,MAOB
[Neoplasms (C04)],Pheochromocytoma,disease,C0031511,,,,,4129.0,protein-coding,[],0.4,MAOB
"[Digestive System Diseases (C06), Neoplasms (C04)]",Colonic Neoplasms,disease,C0009375,,,,,4129.0,protein-coding,[],0.4,MAOB
[Cardiovascular Diseases (C14)],Hypotension,phenotype,C0020649,,,,,4129.0,protein-coding,[],0.4,MAOB
"[Pathological Conditions, Signs and Symptoms (C23)]","Plaque, Amyloid",disease,C2936349,,,,,4129.0,protein-coding,[],0.4,MAOB
[Hemic and Lymphatic Diseases (C15)],"Anemia, Megaloblastic",disease,C0002888,,,,,4129.0,protein-coding,[],0.4,MAOB
[Urogenital Diseases (C12)],Endometriosis,disease,C0014175,,,,,4129.0,protein-coding,[],0.4,MAOB
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]",Gaucher Disease,disease,C0017205,Autosomal recessive,"1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000","Europe,Europe,Spain,Austria,France,France,France,Australia,Czech Republic,Portugal,Netherlands,Hungary,Turkey,Sweden,China","Annual incidence,Point prevalence,Point prevalence,Prevalence at birth,Annual incidence,Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Point prevalence",2629.0,protein-coding,[],1.0,GBA1
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,2629.0,protein-coding,[],1.0,GBA1
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","Gaucher Disease, Type 1",disease,C1961835,Autosomal recessive,"1-9 / 100 000,1-9 / 100 000","Europe,Italy","Point prevalence,Prevalence at birth",2629.0,protein-coding,[],1.0,GBA1
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Lewy Body Disease,disease,C0752347,,,,,2629.0,protein-coding,[],1.0,GBA1
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]","Gaucher Disease, Type 3",disease,C0268251,Autosomal recessive,<1 / 1 000 000,Europe,Point prevalence,2629.0,protein-coding,[],1.0,GBA1
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]","Gaucher Disease, Type 2",disease,C0268250,Autosomal recessive,<1 / 1 000 000,Europe,Point prevalence,2629.0,protein-coding,[],1.0,GBA1
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,2629.0,protein-coding,[],1.0,GBA1
"[Nervous System Diseases (C10), Mental Disorders (F03)]",Dementia,disease,C0497327,,,,,2629.0,protein-coding,[],1.0,GBA1
[],"PARKINSON DISEASE, LATE-ONSET",disease,C3160718,,,,,2629.0,protein-coding,[],0.95,GBA1
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]","GAUCHER DISEASE, PERINATAL LETHAL",disease,C1842704,,<1 / 1 000 000,Worldwide,Point prevalence,2629.0,protein-coding,[],0.9,GBA1
[Hemic and Lymphatic Diseases (C15)],Thrombocytopenia,disease,C0040034,,,,,2629.0,protein-coding,[],0.7,GBA1
[Nervous System Diseases (C10)],Movement Disorders,disease,C0026650,,,,,2629.0,protein-coding,[],0.65,GBA1
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Tremor,phenotype,C0040822,,,,,2629.0,protein-coding,[],0.65,GBA1
"[Musculoskeletal Diseases (C05), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Muscle Rigidity,phenotype,C0026837,,,,,2629.0,protein-coding,[],0.65,GBA1
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","Gaucher Disease, Type Iiic",disease,C1856476,,,,,2629.0,protein-coding,[],0.6,GBA1
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]",Gaucher-like disease,disease,C2931585,Autosomal recessive,<1 / 1 000 000,Worldwide,Point prevalence,2629.0,protein-coding,[],0.6,GBA1
[Nervous System Diseases (C10)],Autosomal dominant late onset Parkinson disease,disease,C4274355,Autosomal dominant,,,,2629.0,protein-coding,[],0.6,GBA1
[Cardiovascular Diseases (C14)],Hypertensive disease,disease,C0020538,,,,,2629.0,protein-coding,[],0.55,GBA1
[Nutritional and Metabolic Diseases (C18)],Other sphingolipidosis,disease,C0348489,,,,,2629.0,protein-coding,[],0.5,GBA1
[],Abnormality of speech or vocalization,phenotype,C3687424,,,,,2629.0,protein-coding,[],0.45,GBA1
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Expressionless face,phenotype,C0813217,,,,,2629.0,protein-coding,[],0.45,GBA1
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Resting tremor,phenotype,C0234379,,,,,2629.0,protein-coding,[],0.45,GBA1
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Akinesia,phenotype,C0085623,,,,,2629.0,protein-coding,[],0.45,GBA1
[Hemic and Lymphatic Diseases (C15)],Bleeding tendency,phenotype,C1458140,,,,,2629.0,protein-coding,[],0.45,GBA1
[],"DEMENTIA, LEWY BODY, SUSCEPTIBILITY TO",phenotype,C2676021,,,,,2629.0,protein-coding,[],0.4,GBA1
"[Cardiovascular Diseases (C14), Respiratory Tract Diseases (C08)]",Pulmonary Hypertension,phenotype,C0020542,,,,,2629.0,protein-coding,[],0.4,GBA1
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Hemic and Lymphatic Diseases (C15)]",Alpha thalassemia X-linked intellectual disability syndrome,disease,C1845055,X-linked recessive,,,,2629.0,protein-coding,[],0.4,GBA1
[Neoplasms (C04)],Hepatoblastoma,disease,C0206624,Not applicable,"<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000","Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Germany,Ireland,Italy,Latvia,Lithuania,Malta,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Switzerland,Netherlands,United Kingdom","Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",2629.0,protein-coding,[],0.4,GBA1
"[Nervous System Diseases (C10), Musculoskeletal Diseases (C05), Pathological Conditions, Signs and Symptoms (C23)]",Muscle Weakness Lower Limb,phenotype,C1836296,,,,,2629.0,protein-coding,[],0.4,GBA1
[Nutritional and Metabolic Diseases (C18)],Hyperlipidemia,disease,C0020473,,,,,2629.0,protein-coding,[],0.4,GBA1
[Musculoskeletal Diseases (C05)],Thoracolumbar scoliosis,disease,C0749379,,,,,2629.0,protein-coding,[],0.4,GBA1
"[Musculoskeletal Diseases (C05), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Cogwheel muscle rigidity,phenotype,C0151564,,,,,2629.0,protein-coding,[],0.4,GBA1
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer's Disease,disease,C0002395,,,,,4137.0,protein-coding,[],1.0,MAPT
[Nervous System Diseases (C10)],Tauopathies,disease,C0949664,,,,,4137.0,protein-coding,[],1.0,MAPT
"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Frontotemporal dementia,disease,C0338451,Autosomal dominant,1-9 / 100 000,Italy,Annual incidence,4137.0,protein-coding,[],1.0,MAPT
"[Nervous System Diseases (C10), Mental Disorders (F03)]",Dementia,disease,C0497327,,,,,4137.0,protein-coding,[],1.0,MAPT
"[Nervous System Diseases (C10), Eye Diseases (C11), Pathological Conditions, Signs and Symptoms (C23)]",Progressive supranuclear palsy,disease,C0038868,"Not applicable,Not applicable","1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000","Worldwide,Worldwide,Europe,United States,Italy,Guadeloupe,United Kingdom,Libyan Arab Jamahiriya,United States,Australia","Annual incidence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Annual incidence,Annual incidence",4137.0,protein-coding,[],1.0,MAPT
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,4137.0,protein-coding,[],1.0,MAPT
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,4137.0,protein-coding,[],1.0,MAPT
"[Nervous System Diseases (C10), Mental Disorders (F03)]",Pick Disease of the Brain,disease,C0236642,,,,,4137.0,protein-coding,[],1.0,MAPT
[Nervous System Diseases (C10)],Neurodegenerative Disorders,disease,C0524851,,,,,4137.0,protein-coding,[],0.95,MAPT
[Mental Disorders (F03)],Mental deterioration,disease,C0234985,,,,,4137.0,protein-coding,[],0.9,MAPT
"[Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Memory impairment,disease,C0233794,,,,,4137.0,protein-coding,[],0.9,MAPT
[],"PARKINSON DISEASE, LATE-ONSET",disease,C3160718,,,,,4137.0,protein-coding,[],0.85,MAPT
[Nervous System Diseases (C10)],Multiple System Atrophy,phenotype,C0393571,"Multigenic/multifactorial,Not applicable","1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000","Worldwide,Worldwide,Iceland,Iceland,Sweden,United Kingdom,United States,France,Russian Federation,Italy,Japan,Faroe Islands","Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence",4137.0,protein-coding,[],0.85,MAPT
