"id","UniProt","Symbol","Ligand Name","Ligand Is Drug","Ligand SMILES","Ligand PubChem ID","Ligand ChEMBL ID","Ligand Guide to Pharmacology ID","Ligand DrugCentral ID","Ligand Description","Preferred Term","UNII","Ligand Activity","Ligand Activity Type","Ligand Action","Ligand References","Ligand Reference Source","Ligand PubMed IDs"
570,"P14416","DRD2","acetophenazine",1,"CC(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(CCO)CC3)C2=C1","17676","CHEMBL1085","","59","major descriptor (73-85); minor descriptor (64-72); on-line search PHENOTHIAZINES (64-85); Index Medicus search PHENOTHIAZINES (64-72); ACETOPHENAZINE (73-85); RN given refers to parent cpd","ACETOPHENAZINE","8620H6K4QH",,,"ANTAGONIST","https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1085","CHEMBL",
570,"P14416","DRD2","acepromazine",1,"CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(C=C12)C(C)=O","6077","CHEMBL39560","","73","Acepromazine, a phenothiazine derivatives, was first used in the 1950s in the treatment of PSYCHOSES. Now, it is commonly used as tranquilizer/sedative agent in dogs, cats, horses, and other animals. It is thought to block dopamine receptors in the brain or inhibit the activity of dopamine in other ways.","ACEPROMAZINE","54EJ303F0R",,,"ANTAGONIST","https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL39560","CHEMBL",
570,"P14416","DRD2","alizapride",1,"COC1=CC2=C(C=C1C(=O)NCC1CCCN1CC=C)N=NN2","135413504","CHEMBL290194","","120","a dopamine antagonist with prokinetic and antiemetic effects used in the treatment of nausea and vomiting, including postoperative nausea and vomiting. Its effect is due to its antagonist activity at D2 receptors in the chemoreceptor trigger zone (CTZ) in the central nervous system (CNS), this action prevents nausea and vomiting triggered by most stimuli.","ALIZAPRIDE","P55703ZRZY",7.15,"Ki","ANTAGONIST","https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL290194","CHEMBL",
570,"P14416","DRD2","amoxapine",1,"Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2","2170","CHEMBL1113","201","191","The N-demethylated derivative of the antipsychotic agent LOXAPINE that works by blocking the reuptake of norepinephrine, serotonin, or both; it also blocks dopamine receptors. Amoxapine is used for the treatment of depression.","AMOXAPINE","R63VQ857OT",7.17,"Ki",,"None, None:None:None",,
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.6,"",,,,"1975644"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",9.21,"Ki",,"J. Med. Chem., (2010) 53:6:2510",,"20155917"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",9.18,"Kd",,"J. Med. Chem., (1989) 32:6:1198",,"2524592"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.8,"EC50",,"ACS Med Chem Lett, (2020) 11:3:385",,"32184974"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.79,"EC50",,"ACS Med Chem Lett, (2020) 11:3:385",,"32184974"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.77,"EC50",,"MedChemComm, (2013) 4:9:1290",,
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.74,"EC50",,"J. Med. Chem., (2006) 49:25:7450",,"17149874"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.44,"Ki",,"J. Med. Chem., (2006) 49:25:7450",,"17149874"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.4,"EC50",,"Bioorg. Med. Chem., (2008) 16:6:3438",,"18313303"
