,diseaseClasses_MSH,diseaseName,diseaseType,CUI,geneNcbiID,score,symbolOfGene,pref_name,source_id,source
1,[Nervous System Diseases (C10)],tauopathy,disease,C0949664,4137.0,1.0,MAPT,Tauopathy,181880,MedGen
7,"[Mental Disorders (F03), Nervous System Diseases (C10)]",Pick's disease,disease,C0236642,4137.0,1.0,MAPT,Pick disease,116020,MedGen
13,"[Nervous System Diseases (C10), Mental Disorders (F03)]",Dementia,disease,C0497327,4137.0,1.0,MAPT,Dementia,99229,MedGen
18,"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer Disease,disease,C0002395,4137.0,1.0,MAPT,Alzheimer disease,1853,MedGen
24,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,4137.0,1.0,MAPT,Parkinson disease,10590,MedGen
35,"[Eye Diseases (C11), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Progressive supranuclear palsy,disease,C0038868,4137.0,1.0,MAPT,Progressive supranuclear palsy,21026,MedGen
38,"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Frontotemporal dementia,disease,C0338451,4137.0,1.0,MAPT,Frontotemporal dementia,83266,MedGen
47,[Nervous System Diseases (C10)],Parkinsonism,disease,C0242422,4137.0,1.0,MAPT,Parkinsonian disorder,66079,MedGen
52,[Nervous System Diseases (C10)],"Degenerative disease of nervous system, unspecified",disease,C0524851,4137.0,0.95,MAPT,"Degenerative Disease of Nervous System, Unspecified",101195,MedGen
56,"[Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Memory impairment,disease,C0233794,4137.0,0.9,MAPT,Memory impairment,68579,MedGen
58,[Mental Disorders (F03)],Progressive cognitive decline,disease,C0234985,4137.0,0.9,MAPT,Mental deterioration,66713,MedGen
66,[Nervous System Diseases (C10)],"Atrophy, Multiple System",phenotype,C0393571,4137.0,0.85,MAPT,Multiple system atrophy,98276,MedGen
75,[Nervous System Diseases (C10)],Temporal lobe epilepsy,disease,C0014556,4137.0,0.8,MAPT,Temporal lobe epilepsy,4990,MedGen
79,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18), Mental Disorders (F03)]",Progressive Nonfluent Aphasias,disease,C0751706,4137.0,0.7999999999999999,MAPT,Primary progressive non fluent aphasia,148373,MedGen
84,[Mental Disorders (F03)],Anxiety Disorder,disease,C0003469,4137.0,0.75,MAPT,Anxiety disorder,361,MedGen
89,"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Semantic Dementias,disease,C0338462,4137.0,0.75,MAPT,Semantic dementia,83268,MedGen
96,"[Neoplasms (C04), Urogenital Diseases (C12)]",Malignant neoplasm of prostate,disease,C0376358,4137.0,0.75,MAPT,Malignant tumor of prostate,138169,MedGen
100,"[Pathological Conditions, Signs and Symptoms (C23)]",degenerative disorders,disease,C1285162,4137.0,0.75,MAPT,Degenerative disorder,224837,MedGen
109,"[Digestive System Diseases (C06), Neoplasms (C04)]",Liver cell carcinoma,disease,C2239176,4137.0,0.7000000000000001,MAPT,Hepatocellular carcinoma,389187,MedGen
114,"[Nervous System Diseases (C10), Mental Disorders (F03), Nutritional and Metabolic Diseases (C18)]",PPND,disease,C0520716,4137.0,0.7,MAPT,Pallidopontonigral degeneration,105456,MedGen
117,"[Nutritional and Metabolic Diseases (C18), Mental Disorders (F03), Nervous System Diseases (C10)]","Frontotemporal dementia, behavioral variant",disease,C4011788,4137.0,0.7,MAPT,Behavioral variant of frontotemporal dementia,860225,MedGen
120,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Ataxia,phenotype,C0004134,4137.0,0.65,MAPT,Dyssynergia,13945,MedGen
125,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10), Mental Disorders (F03)]",Learning disability,disease,C0751265,4137.0,0.65,MAPT,Learning disability,199623,MedGen
130,"[Cardiovascular Diseases (C14), Pathological Conditions, Signs and Symptoms (C23)]",Atrial Fibrillation,disease,C0004238,4137.0,0.65,MAPT,Atrial fibrillation,445,MedGen
134,[Nervous System Diseases (C10)],PD,disease,C3160718,4137.0,0.5,MAPT,"Parkinson disease, late-onset",463618,MedGen
138,[Nervous System Diseases (C10)],Progressive supranuclear palsy parkinsonism syndrome (disorder),disease,C5548370,4137.0,0.5,MAPT,Progressive supranuclear palsy parkinsonism syndrome,1784914,MedGen
140,"[Eye Diseases (C11), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",PSNP1,disease,C4551863,4137.0,0.5,MAPT,"Supranuclear palsy, progressive, 1",1640811,MedGen
149,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23), Eye Diseases (C11)]","STEELE-RICHARDSON-OLSZEWSKI SYNDROME, ATYPICAL",disease,C1850077,4137.0,0.45,MAPT,Progressive supranuclear palsy-parkinsonism syndrome,342410,MedGen
154,[Nervous System Diseases (C10)],Hereditary late onset Parkinson disease,disease,C4274355,4137.0,0.45,MAPT,Autosomal dominant late onset Parkinson disease,896543,MedGen
158,[Musculoskeletal Diseases (C05)],Coxarthroses,disease,C0029410,4137.0,0.45,MAPT,"Osteoarthritis, hip",14530,MedGen
162,[Mental Disorders (F03)],"Disorders, Organic Mental",disease,C0029227,4137.0,0.45,MAPT,Organic mental disorder,14510,MedGen
164,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23), Mental Disorders (F03)]",learning disorder,disease,C0023186,4137.0,0.4,MAPT,Learning disorder,44084,MedGen
171,"[Pathological Conditions, Signs and Symptoms (C23)]","Losses, Weight",phenotype,C1262477,4137.0,0.4,MAPT,Weight loss,853198,MedGen
172,"[Pathological Conditions, Signs and Symptoms (C23)]","Gains, Weight",phenotype,C0043094,4137.0,0.4,MAPT,Increased body weight,12145,MedGen
179,"[Respiratory Tract Diseases (C08), Nutritional and Metabolic Diseases (C18)]",Acute respiratory failure,disease,C0264490,4137.0,0.4,MAPT,Acute respiratory failure,75540,MedGen
183,"[Pathological Conditions, Signs and Symptoms (C23)]",Splenomegaly,phenotype,C0038002,4137.0,0.4,MAPT,Splenomegaly,52469,MedGen
186,"[Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Psychomotor Agitation,phenotype,C3887612,4137.0,0.4,MAPT,psychomotor agitation,854458,MedGen
190,"[Eye Diseases (C11), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],disease,C4551862,4137.0,0.4,MAPT,Progressive supranuclear ophthalmoplegia,1641556,MedGen
193,[Cardiovascular Diseases (C14)],Cardiomyopathy,disease,C0878544,4137.0,0.4,MAPT,Cardiomyopathy,209232,MedGen
202,[Cardiovascular Diseases (C14)],"Disease, Primary Myocardial",disease,C0033141,4137.0,0.4,MAPT,Idiopathic cardiomyopathy,18634,MedGen
205,[],PSP-PNFA,disease,C5679850,4137.0,0.4,MAPT,Progressive supranuclear palsy-progressive non-fluent aphasia syndrome,1842806,MedGen
209,[],PSP-pure akinesia with gait freezing,disease,C5679851,4137.0,0.4,MAPT,Progressive supranuclear palsy-pure akinesia with gait freezing syndrome,1843032,MedGen
213,[],Progressive supranuclear palsy corticobasal syndrome (disorder),disease,C5548189,4137.0,0.4,MAPT,Progressive supranuclear palsy-corticobasal syndrome,1781130,MedGen
224,[Mental Disorders (F03)],Schizophrenias,disease,C0036341,1813.0,1.0,DRD2,Schizophrenia,48574,MedGen
232,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Alcoholism,disease,C0001973,1813.0,1.0,DRD2,Alcohol dependence,1801,MedGen
233,"[Nutritional and Metabolic Diseases (C18), Pathological Conditions, Signs and Symptoms (C23)]",Obesity,disease,C0028754,1813.0,0.9,DRD2,Obesity,18127,MedGen
241,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,1813.0,0.9,DRD2,Parkinson disease,10590,MedGen
249,[Mental Disorders (F03)],Anxiety Disorder,disease,C0003469,1813.0,0.8500000000000001,DRD2,Anxiety disorder,361,MedGen
253,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine dependence,disease,C0600427,1813.0,0.8500000000000001,DRD2,Cocaine dependence,154705,MedGen
