diseaseClasses_MSH,diseaseName,diseaseType,diseaseUMLSCUI,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,geneNcbiID,geneNcbiType,geneProteinClassNames,score,symbolOfGene,MSH,MSH_normalised_name
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,4129.0,protein-coding,[],1.0,MAOB,D010300,Parkinson Disease
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer's Disease,disease,C0002395,,,,,4129.0,protein-coding,[],0.95,MAOB,D000544,Alzheimer Disease
[Mental Disorders (F03)],Depressive disorder,disease,C0011581,,,,,4129.0,protein-coding,[],0.85,MAOB,D003866,Depressive Disorder
[Behavior and Behavior Mechanisms (F01)],Mental Depression,disease,C0011570,,,,,4129.0,protein-coding,[],0.85,MAOB,D003863,Depression
[Mental Disorders (F03)],Schizophrenia,disease,C0036341,,,,,4129.0,protein-coding,[],0.75,MAOB,D012559,Schizophrenia
[Mental Disorders (F03)],Major Depressive Disorder,disease,C1269683,,,,,4129.0,protein-coding,[],0.75,MAOB,D003865,"Depressive Disorder, Major"
"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Alcoholic Intoxication, Chronic",disease,C0001973,,,,,4129.0,protein-coding,[],0.7,MAOB,D000437,Alcoholism
[Mental Disorders (F03)],Bipolar Disorder,disease,C0005586,,,,,4129.0,protein-coding,[],0.7,MAOB,D001714,Bipolar Disorder
[Mental Disorders (F03)],Unipolar Depression,disease,C0041696,,,,,4129.0,protein-coding,[],0.65,MAOB,D003866,Depressive Disorder
"[Nutritional and Metabolic Diseases (C18), Digestive System Diseases (C06), Nervous System Diseases (C10)]",Hepatic Encephalopathy,disease,C0019151,,,,,4129.0,protein-coding,[],0.65,MAOB,D006501,Hepatic Encephalopathy
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Mental Disorders (F03)]",Huntington Disease,disease,C0020179,Autosomal dominant,"1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,<1 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,<1 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000","Greece,Worldwide,Worldwide,Europe,Ireland,Italy,Canada,United States,United States,Japan,Australia,Australia,China,China,Slovenia,Taiwan, Province of China,Taiwan, Province of China,Iceland,Iceland,Norway,Sweden,Greece,Finland,Egypt,Cyprus,Cyprus,Denmark,Spain,Spain","Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Annual incidence",4129.0,protein-coding,[],0.65,MAOB,D006816,Huntington Disease
[Mental Disorders (F03)],Mood Disorders,disease,C0525045,,,,,4129.0,protein-coding,[],0.6,MAOB,D019964,Mood Disorders
[Mental Disorders (F03)],Autistic Disorder,disease,C0004352,,,,,4129.0,protein-coding,[],0.6,MAOB,D001321,Autistic Disorder
[Neoplasms (C04)],Extraadrenal pheochromocytoma,disease,C1257877,,,,,4129.0,protein-coding,[],0.4,MAOB,D010673,Pheochromocytoma
[Neoplasms (C04)],Pheochromocytoma,disease,C0031511,,,,,4129.0,protein-coding,[],0.4,MAOB,D010673,Pheochromocytoma
"[Digestive System Diseases (C06), Neoplasms (C04)]",Colonic Neoplasms,disease,C0009375,,,,,4129.0,protein-coding,[],0.4,MAOB,D003110,Colonic Neoplasms
[Cardiovascular Diseases (C14)],Hypotension,phenotype,C0020649,,,,,4129.0,protein-coding,[],0.4,MAOB,D007022,Hypotension
"[Pathological Conditions, Signs and Symptoms (C23)]","Plaque, Amyloid",disease,C2936349,,,,,4129.0,protein-coding,[],0.4,MAOB,D058225,"Plaque, Amyloid"
[Hemic and Lymphatic Diseases (C15)],"Anemia, Megaloblastic",disease,C0002888,,,,,4129.0,protein-coding,[],0.4,MAOB,D000749,"Anemia, Megaloblastic"
[Urogenital Diseases (C12)],Endometriosis,disease,C0014175,,,,,4129.0,protein-coding,[],0.4,MAOB,D004715,Endometriosis
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]",Gaucher Disease,disease,C0017205,Autosomal recessive,"1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000","Europe,Europe,Spain,Austria,France,France,France,Australia,Czech Republic,Portugal,Netherlands,Hungary,Turkey,Sweden,China","Annual incidence,Point prevalence,Point prevalence,Prevalence at birth,Annual incidence,Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Point prevalence",2629.0,protein-coding,[],1.0,GBA1,D005776,Gaucher Disease
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,2629.0,protein-coding,[],1.0,GBA1,D010300,Parkinson Disease
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","Gaucher Disease, Type 1",disease,C1961835,Autosomal recessive,"1-9 / 100 000,1-9 / 100 000","Europe,Italy","Point prevalence,Prevalence at birth",2629.0,protein-coding,[],1.0,GBA1,D005776,Gaucher Disease
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Lewy Body Disease,disease,C0752347,,,,,2629.0,protein-coding,[],1.0,GBA1,D020961,Lewy Body Disease
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]","Gaucher Disease, Type 3",disease,C0268251,Autosomal recessive,<1 / 1 000 000,Europe,Point prevalence,2629.0,protein-coding,[],1.0,GBA1,D005776,Gaucher Disease
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]","Gaucher Disease, Type 2",disease,C0268250,Autosomal recessive,<1 / 1 000 000,Europe,Point prevalence,2629.0,protein-coding,[],1.0,GBA1,D005776,Gaucher Disease
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,2629.0,protein-coding,[],1.0,GBA1,D020734,Parkinsonian Disorders
"[Nervous System Diseases (C10), Mental Disorders (F03)]",Dementia,disease,C0497327,,,,,2629.0,protein-coding,[],1.0,GBA1,D003704,Dementia
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]","GAUCHER DISEASE, PERINATAL LETHAL",disease,C1842704,,<1 / 1 000 000,Worldwide,Point prevalence,2629.0,protein-coding,[],0.9,GBA1,C564306,"Gaucher Disease, Perinatal Lethal"
[Hemic and Lymphatic Diseases (C15)],Thrombocytopenia,disease,C0040034,,,,,2629.0,protein-coding,[],0.7,GBA1,D013921,Thrombocytopenia
[Nervous System Diseases (C10)],Movement Disorders,disease,C0026650,,,,,2629.0,protein-coding,[],0.65,GBA1,D009069,Movement Disorders
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Tremor,phenotype,C0040822,,,,,2629.0,protein-coding,[],0.65,GBA1,D014202,Tremor
"[Musculoskeletal Diseases (C05), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Muscle Rigidity,phenotype,C0026837,,,,,2629.0,protein-coding,[],0.65,GBA1,D009127,Muscle Rigidity
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","Gaucher Disease, Type Iiic",disease,C1856476,,,,,2629.0,protein-coding,[],0.6,GBA1,C565553,"Gaucher Disease, Type Iiic"
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]",Gaucher-like disease,disease,C2931585,Autosomal recessive,<1 / 1 000 000,Worldwide,Point prevalence,2629.0,protein-coding,[],0.6,GBA1,C537675,Gaucher-like disease
[Cardiovascular Diseases (C14)],Hypertensive disease,disease,C0020538,,,,,2629.0,protein-coding,[],0.55,GBA1,D006973,Hypertension
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Resting tremor,phenotype,C0234379,,,,,2629.0,protein-coding,[],0.45,GBA1,D014202,Tremor
"[Cardiovascular Diseases (C14), Respiratory Tract Diseases (C08)]",Pulmonary Hypertension,phenotype,C0020542,,,,,2629.0,protein-coding,[],0.4,GBA1,D006976,"Hypertension, Pulmonary"
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Hemic and Lymphatic Diseases (C15)]",Alpha thalassemia X-linked intellectual disability syndrome,disease,C1845055,X-linked recessive,,,,2629.0,protein-coding,[],0.4,GBA1,C538258,ATR-X syndrome
[Neoplasms (C04)],Hepatoblastoma,disease,C0206624,Not applicable,"<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000","Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Germany,Ireland,Italy,Latvia,Lithuania,Malta,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Switzerland,Netherlands,United Kingdom","Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",2629.0,protein-coding,[],0.4,GBA1,D018197,Hepatoblastoma
[Nutritional and Metabolic Diseases (C18)],Hyperlipidemia,disease,C0020473,,,,,2629.0,protein-coding,[],0.4,GBA1,D006949,Hyperlipidemias
"[Musculoskeletal Diseases (C05), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Cogwheel muscle rigidity,phenotype,C0151564,,,,,2629.0,protein-coding,[],0.4,GBA1,D009127,Muscle Rigidity
"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer's Disease,disease,C0002395,,,,,4137.0,protein-coding,[],1.0,MAPT,D000544,Alzheimer Disease
[Nervous System Diseases (C10)],Tauopathies,disease,C0949664,,,,,4137.0,protein-coding,[],1.0,MAPT,D024801,Tauopathies
"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Frontotemporal dementia,disease,C0338451,Autosomal dominant,1-9 / 100 000,Italy,Annual incidence,4137.0,protein-coding,[],1.0,MAPT,D057180,Frontotemporal Dementia
"[Nervous System Diseases (C10), Mental Disorders (F03)]",Dementia,disease,C0497327,,,,,4137.0,protein-coding,[],1.0,MAPT,D003704,Dementia
"[Nervous System Diseases (C10), Eye Diseases (C11), Pathological Conditions, Signs and Symptoms (C23)]",Progressive supranuclear palsy,disease,C0038868,"Not applicable,Not applicable","1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 1 000 000","Worldwide,Worldwide,Europe,United States,Italy,Guadeloupe,United Kingdom,Libyan Arab Jamahiriya,United States,Australia","Annual incidence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Annual incidence,Annual incidence",4137.0,protein-coding,[],1.0,MAPT,D013494,"Supranuclear Palsy, Progressive"
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,4137.0,protein-coding,[],1.0,MAPT,D010300,Parkinson Disease
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,4137.0,protein-coding,[],1.0,MAPT,D020734,Parkinsonian Disorders
"[Nervous System Diseases (C10), Mental Disorders (F03)]",Pick Disease of the Brain,disease,C0236642,,,,,4137.0,protein-coding,[],1.0,MAPT,D020774,Pick Disease of the Brain
[Nervous System Diseases (C10)],Neurodegenerative Disorders,disease,C0524851,,,,,4137.0,protein-coding,[],0.95,MAPT,D019636,Neurodegenerative Diseases
[Mental Disorders (F03)],Mental deterioration,disease,C0234985,,,,,4137.0,protein-coding,[],0.9,MAPT,D060825,Cognitive Dysfunction
"[Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Memory impairment,disease,C0233794,,,,,4137.0,protein-coding,[],0.9,MAPT,D008569,Memory Disorders
[Nervous System Diseases (C10)],Multiple System Atrophy,phenotype,C0393571,"Multigenic/multifactorial,Not applicable","1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000","Worldwide,Worldwide,Iceland,Iceland,Sweden,United Kingdom,United States,France,Russian Federation,Italy,Japan,Faroe Islands","Point prevalence,Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence",4137.0,protein-coding,[],0.85,MAPT,D019578,Multiple System Atrophy
"[Mental Disorders (F03), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18), Pathological Conditions, Signs and Symptoms (C23)]",Primary Progressive Nonfluent Aphasia,disease,C0751706,"Multigenic/multifactorial,Not applicable",1-9 / 100 000,Europe,Point prevalence,4137.0,protein-coding,[],0.8,MAPT,D057178,Primary Progressive Nonfluent Aphasia
[Nervous System Diseases (C10)],"Epilepsy, Temporal Lobe",disease,C0014556,,,,,4137.0,protein-coding,[],0.8,MAPT,D004833,"Epilepsy, Temporal Lobe"
"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Semantic dementia,disease,C0338462,"Multigenic/multifactorial,Not applicable",,,,4137.0,protein-coding,[],0.75,MAPT,D057180,Frontotemporal Dementia
[Mental Disorders (F03)],Anxiety Disorders,disease,C0003469,,,,,4137.0,protein-coding,[],0.75,MAPT,D001008,Anxiety Disorders
"[Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10), Mental Disorders (F03)]",Pallidopontonigral degeneration,disease,C0520716,,,,,4137.0,protein-coding,[],0.7,MAPT,C563003,Pallidopontonigral Degeneration
"[Neoplasms (C04), Urogenital Diseases (C12)]",Malignant neoplasm of prostate,disease,C0376358,,,,,4137.0,protein-coding,[],0.65,MAPT,D011471,Prostatic Neoplasms
"[Pathological Conditions, Signs and Symptoms (C23), Cardiovascular Diseases (C14)]",Atrial Fibrillation,disease,C0004238,,,,,4137.0,protein-coding,[],0.65,MAPT,D001281,Atrial Fibrillation
"[Mental Disorders (F03), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Learning Disabilities,disease,C0751265,,,,,4137.0,protein-coding,[],0.65,MAPT,D007859,Learning Disabilities
"[Neoplasms (C04), Digestive System Diseases (C06)]",Liver carcinoma,disease,C2239176,Not applicable,"1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence",4137.0,protein-coding,[],0.6,MAPT,D006528,"Carcinoma, Hepatocellular"
"[Nervous System Diseases (C10), Behavior and Behavior Mechanisms (F01), Pathological Conditions, Signs and Symptoms (C23)]",Memory Disorders,disease,C0025261,,,,,4137.0,protein-coding,[],0.55,MAPT,D008569,Memory Disorders
"[Pathological Conditions, Signs and Symptoms (C23)]",Weight Loss,phenotype,C1262477,,,,,4137.0,protein-coding,[],0.55,MAPT,D015431,Weight Loss
[Musculoskeletal Diseases (C05)],Osteoarthritis of hip,disease,C0029410,,,,,4137.0,protein-coding,[],0.55,MAPT,D015207,"Osteoarthritis, Hip"
"[Eye Diseases (C11), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]","Supranuclear Palsy, Progressive, 1",disease,C4551863,,,,,4137.0,protein-coding,[],0.5,MAPT,D013494,"Supranuclear Palsy, Progressive"
"[Nervous System Diseases (C10), Eye Diseases (C11), Pathological Conditions, Signs and Symptoms (C23)]","Supranuclear Palsy, Progressive, 1, Atypical",disease,C1850077,,,,,4137.0,protein-coding,[],0.45,MAPT,C537240,Progressive supranuclear palsy atypical
[Mental Disorders (F03)],"Delirium, Dementia, Amnestic, Cognitive Disorders",disease,C0029227,,,,,4137.0,protein-coding,[],0.45,MAPT,D019965,Neurocognitive Disorders
"[Pathological Conditions, Signs and Symptoms (C23), Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10)]",Psychomotor Agitation,phenotype,C3887612,,,,,4137.0,protein-coding,[],0.4,MAPT,D011595,Psychomotor Agitation
"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Ataxia,phenotype,C0004134,,,,,4137.0,protein-coding,[],0.4,MAPT,D001259,Ataxia
[Cardiovascular Diseases (C14)],Cardiomyopathies,disease,C0878544,,,,,4137.0,protein-coding,[],0.4,MAPT,D009202,Cardiomyopathies
"[Pathological Conditions, Signs and Symptoms (C23)]",Splenomegaly,phenotype,C0038002,,,,,4137.0,protein-coding,[],0.4,MAPT,D013163,Splenomegaly
"[Pathological Conditions, Signs and Symptoms (C23)]",Weight Gain,phenotype,C0043094,,,,,4137.0,protein-coding,[],0.4,MAPT,D015430,Weight Gain
