Unnamed: 0,Gene,ChEMBLTargetID,UniProt,GeneFullName,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,geneNcbiID,geneNcbiType,ModulatorCount,ModulatorScore_Global,ModulatorScore_q95,ModulatorScore_Local,CrystalStructureCount,CrystalScore_Global,CrystalScore_q95,CrystalScore_Local,Category,coverage_percent,CSS_Avg,CSS_Final,CSS_Final_Rank,TS,Top_Disease_1_Name,Top_Disease_2_Name,Top_Disease_3_Name,Top_Disease_1_ID,Top_Disease_2_ID,Top_Disease_3_ID,Top_Disease_1_Score,Top_Disease_2_Score,Top_Disease_3_Score
0,MAOB,CHEMBL2039,"B7Z242,P27338",monoamine oxidase B,R-HSA-1430728,Metabolism,,1.0,4129,protein-coding,2224.0,0.2953519256308101,1.0,0.32509866978511914,50.0,0.045787545787545784,1.0,0.45871559633027525,Mid-range or all low,95.99,0.501501047372607,0.501501047372607,4.0,0.9864014009114972,Alzheimer Disease,Depression,Schizophrenia,D000544,D003863,D012559,0.95,0.85,0.75
1,GBA1,CHEMBL2179,"B7Z6S9,P04062,A0A068F658",glucosylceramidase beta 1,"R-HSA-1430728,R-HSA-392499","Metabolism,Metabolism of proteins",,1.0,2629,protein-coding,331.0,0.04395750332005312,0.2007885956930548,0.04838473907323491,47.0,0.04304029304029304,1.0,0.43119266055045874,Mid-range or all low,92.54,0.4914109845302506,0.4914109845302506,5.0,0.7529058862613062,Gaucher Disease,Lewy Body Disease,"Gaucher Disease, Perinatal Lethal",D005776,D020961,C564306,1.0,0.91,0.9
2,MAPT,CHEMBL1293224,"B3KTM0,P10636",microtubule associated protein tau,"R-HSA-112316,R-HSA-168256,R-HSA-5357801","Neuronal System,Immune System,Programmed Cell Death",,1.0,4137,protein-coding,4987.0,0.6622841965471448,1.0,0.7289869902061102,42.0,0.038461538461538464,1.0,0.3853211009174312,High GDA+Mod,0.0,0.47459421312632327,0.0,20.0,0.6952209838240012,"Supranuclear Palsy, Progressive",Memory Disorders,Multiple System Atrophy,D013494,D008569,D019578,0.98,0.9,0.9
3,LRRK2,CHEMBL1075104,"Q17RV3,Q5S007",leucine rich repeat kinase 2,R-HSA-162582,Signal Transduction,Kinase,1.0,120892,protein-coding,2095.0,0.2782204515272244,1.0,0.30624177751790677,8.0,0.007326007326007326,0.25806451612903225,0.07339449541284404,Mid-range or all low,33.67,0.11292833962262787,0.0380229719509388,13.0,0.6839039907155046,Nerve Degeneration,Muscle Rigidity,Frontotemporal Dementia,D009410,D009127,D057180,0.95,0.65,0.6
4,MAPK3,CHEMBL3385,"Q9BWJ1,P27361,L7RXH5",mitogen-activated protein kinase 3,"R-HSA-109582,R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-74160,R-HSA-8953897","Hemostasis,Neuronal System,Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Gene expression (Transcription),Cellular responses to stimuli",Kinase,0.9,5595,protein-coding,114.0,0.015139442231075698,0.06915377616014576,0.016664230375676072,3.0,0.0027472527472527475,0.0967741935483871,0.027522935779816515,Mid-range or all low,95.8,0.042348127358485456,0.042348127358485456,11.0,0.6820212251054673,Lung Neoplasms,Schizophrenia,Ovarian Neoplasms,D008175,D012559,D010051,0.75,0.7,0.7
5,SLC6A3,CHEMBL238,Q01959,solute carrier family 6 member 3,"R-HSA-112316,R-HSA-1643685,R-HSA-382551","Neuronal System,Disease,Transport of small molecules",Transporter,0.95,6531,protein-coding,2126.0,0.28233731739707835,1.0,0.31077327876041516,,0.0,0.0,0.0,Mid-range or all low,86.71,0.0,0.0,20.0,0.6819211599535311,"Parkinsonism-Dystonia, Infantile",Schizophrenia,Alcoholism,C567730,D012559,D000437,0.95,0.9,0.85
6,DRD2,CHEMBL217,P14416,dopamine receptor D2,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.9,1813,protein-coding,6841.0,0.9084993359893758,1.0,1.0,1.0,0.0009157509157509158,0.03225806451612903,0.009174311926605505,Mid-range or all low,40.2,0.014116042452828484,0.00567464906603705,19.0,0.6817565407951133,Schizophrenia,Obesity,"Diabetes Mellitus, Type 2",D012559,D009765,D003924,1.0,0.95,0.9
7,AKT1,CHEMBL4282,"P31749,B3KVH4,B0LPE5",AKT serine/threonine kinase 1,"R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-5653656,R-HSA-74160,R-HSA-8953854,R-HSA-8953897","Hemostasis,Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription),Metabolism of RNA,Cellular responses to stimuli",Kinase,0.9,207,protein-coding,2634.0,0.349800796812749,1.0,0.38503142815377867,31.0,0.028388278388278388,1.0,0.28440366972477066,Mid-range or all low,48.25,0.437597316037683,0.21114070498818202,6.0,0.6778285924487005,Ovarian Neoplasms,Breast Neoplasms,"Diabetes Mellitus, Type 2",D010051,D001943,D003924,1.0,0.95,0.9
8,PARK7,CHEMBL5169188,"Q99497,V9HWC2",Parkinsonism associated deglycase,"R-HSA-392499,R-HSA-9612973","Metabolism of proteins,Autophagy",Enzyme,1.0,11315,protein-coding,14.0,0.0018592297476759628,0.008492569002123163,0.00204648443210057,82.0,0.07509157509157509,1.0,0.7522935779816514,High GDA+CSS,99.47,0.6091283843577422,0.6091283843577422,2.0,0.6657858355153876,"Parkinson Disease 7, Autosomal Recessive Early-Onset",Nerve Degeneration,"Carcinoma, Hepatocellular",C565238,D009410,D006528,0.85,0.75,0.7
9,DDC,CHEMBL1843,"Q53Y41,A0A087WV24,A0A0S2Z3N4,P20711",dopa decarboxylase,R-HSA-1430728,Metabolism,,0.95,1644,protein-coding,0.0,0.0,0.0,0.0,5.0,0.004578754578754579,0.16129032258064516,0.045871559633027525,Mid-range or all low,99.17,0.07058021226414242,0.07058021226414242,9.0,0.6568564004700116,Aromatic amino acid decarboxylase deficiency,Pheochromocytoma,Major Affective Disorder 2,C537437,D010673,C564108,1.0,0.6,0.6
