MSH_normalised_name,MSH,score
Parkinson Disease,D010300,0.95
"Parkinsonism-Dystonia, Infantile",C567730,0.95
Schizophrenia,D012559,0.9
Alcoholism,D000437,0.85
Depressive Disorder,D003866,0.85
Depression,D003863,0.85
Obesity,D009765,0.8
Hyperkinesis,D006948,0.8
Nerve Degeneration,D009410,0.75
Nervous System Diseases,D009422,0.75
Cocaine-Related Disorders,D019970,0.75
Anxiety Disorders,D001008,0.75
Attention Deficit Disorder with Hyperactivity,D001289,0.75
Bipolar Disorder,D001714,0.75
Tobacco Use Disorder,D014029,0.7
Breast Neoplasms,D001943,0.65
Mood Disorders,D019964,0.65
Cognitive Dysfunction,D060825,0.65
Tic Disorders,D013981,0.65
Alcohol Withdrawal Delirium,D000430,0.6
Delirium,D003693,0.6
Alcohol Withdrawal Seizures,D020270,0.6
Dyslexia,D004410,0.6
Anhedonia,D059445,0.55
Paranoid Disorders,D010259,0.5
Memory Disorders,D008569,0.5
Dystonia,D004421,0.45
Mobility Limitation,D051346,0.4
Deglutition Disorders,D003680,0.4
