MSH_normalised_name,MSH,score
Lewy Body Disease,D020961,1.0
Parkinsonian Disorders,D020734,1.0
Alzheimer Disease,D000544,1.0
Parkinson Disease,D010300,1.0
Synucleinopathies,D000080874,0.95
Neurodegenerative Diseases,D019636,0.95
Gaucher Disease,D005776,0.85
"Parkinson Disease 4, Autosomal Dominant Lewy Body",C565324,0.75
Alcoholism,D000437,0.75
Weight Loss,D015431,0.7
Neurobehavioral Manifestations,D019954,0.65
"Parkinson Disease, Secondary",D010302,0.65
"Dementia, Vascular",D015140,0.65
Manganese Poisoning,D020149,0.6
Pallidopyramidal syndrome,C538104,0.6
Nerve Degeneration,D009410,0.5
Cocaine-Related Disorders,D019970,0.45
Heart Failure,D006333,0.4
Hepatolenticular Degeneration,D006527,0.4
Ataxia,D001259,0.4
