Disease,MeSH_ID,Average_Score,Rank
Schizophrenia,D012559,1.0,1.0
Obesity,D009765,0.95,2.0
"Diabetes Mellitus, Type 2",D003924,0.9,3.0
Bipolar Disorder,D001714,0.85,4.0
Hypertension,D006973,0.85,4.0
Pituitary Neoplasms,D010911,0.85,4.0
Anxiety Disorders,D001008,0.85,4.0
Depression,D003863,0.85,4.0
"Depressive Disorder, Major",D003865,0.83,9.0
Dystonia,D004421,0.8,10.0
Parkinson Disease,D010300,0.78,11.0
Hyperkinesis,D006948,0.75,12.0
Catalepsy,D002375,0.75,12.0
Hyperprolactinemia,D006966,0.75,12.0
Myoclonic dystonia,C536096,0.75,12.0
Pain,D010146,0.75,12.0
Weight Gain,D015430,0.75,12.0
Heroin Dependence,D006556,0.73,18.0
Alcoholism,D000437,0.72,19.0
Tachycardia,D013610,0.7,20.0
"Dyskinesia, Drug-Induced",D004409,0.68,21.0
Tobacco Use Disorder,D014029,0.65,22.0
Cocaine-Related Disorders,D019970,0.65,22.0
Migraine with Aura,D020325,0.65,22.0
Anhedonia,D059445,0.65,22.0
Attention Deficit Disorder with Hyperactivity,D001289,0.6,26.0
"Disruptive, Impulse Control, and Conduct Disorders",D007174,0.6,26.0
Marijuana Abuse,D002189,0.55,28.0
Hypotension,D007022,0.55,28.0
Bradycardia,D001919,0.55,28.0
"Kidney Failure, Chronic",D007676,0.55,28.0
Delirium,D003693,0.5,32.0
Language Disorders,D007806,0.5,32.0
Developmental Disabilities,D002658,0.4,34.0
Chiari-Frommel Syndrome,D002640,0.4,34.0
Memory Disorders,D008569,0.4,34.0
