Disease,MeSH_ID,Average_Score,Rank
Parkinson Disease,D010300,0.93,1.0
"Parkinson Disease 7, Autosomal Recessive Early-Onset",C565238,0.85,2.0
Nerve Degeneration,D009410,0.75,3.0
"Carcinoma, Hepatocellular",D006528,0.7,4.0
"Infarction, Middle Cerebral Artery",D020244,0.55,5.0
Amyotrophic Lateral Sclerosis,D000690,0.48,6.0
"Parkinson Disease 6, Autosomal Recessive Early-Onset",C565276,0.4,7.0
Chemical and Drug Induced Liver Injury,D056486,0.4,7.0
Reticulocytosis,D045262,0.4,7.0
"Enterocolitis, Necrotizing",D020345,0.4,7.0
Osteoporosis,D010024,0.4,7.0
