hugo_name,uniprot,uniprot_isoform,mutations,cluster_id
GBA,A0A068F658,1,NA,NA
DDC,A0A087WV24,1,NA,NA
SYNJ1,A0A0D9SGJ6,1,NA,NA
BDNF,A0A0E3SU01,1,NA,NA
DDC,A0A0S2Z3N4,1,NA,NA
S100B,A0A0S2Z4C5,1,NA,NA
NA,A0A384P5G6,1,NA,NA
NOS1,A0PJJ7,1,NA,NA
AKT1,B0LPE5,1,NA,NA
NA,B3KTM0,1,NA,NA
NA,B3KVH4,1,NA,NA
NOS1,B3VK56,1,NA,NA
NA,B4DG68,1,NA,NA
NA,B7Z242,1,NA,NA
NA,B7Z6S9,1,NA,NA
SYNJ1,B9EGN3,1,NA,NA
SYNJ1,C9JFZ1,1,NA,NA
NR4A2,F1D8N6,1,NA,NA
SNCA,H6UYS5,1,NA,NA
SYNJ1,J3KQV8,1,NA,NA
MAPK3,L7RXH5,1,NA,NA
SYNJ1,O43426,1,NA,NA
SOD1,P00441,1,NA,NA
IL1B,P01584,1,NA,NA
GBA1,P04062,1,NA,NA
S100B,P04271,1,NA,NA
TH,P07101,1,NA,NA
GSTP1,P09211,1,NA,NA
GSTM1,P09488,1,NA,NA
MAPT,P10636,1,NA,NA
DRD2,P14416,1,NA,NA
DDC,P20711,1,NA,NA
BDNF,P23560,1,NA,NA
MAOB,P27338,1,NA,NA
MAPK3,P27361,1,NA,NA
NOS1,P29475,1,NA,NA
AKT1,P31749,1,NA,NA
SNCA,P37840,1,NA,NA
HSPA9,P38646,1,NA,NA
NR4A2,P43354,1,NA,NA
TH,P78428,1,NA,NA
SLC6A3,Q01959,1,NA,NA
SLC18A2,Q05940,1,NA,NA
SYNJ1,Q05CZ1,1,NA,NA
LRRK2,Q17RV3,1,NA,NA
NA,Q53EL4,1,NA,NA
DDC,Q53Y41,1,NA,NA
LRRK2,Q5S007,1,NA,NA
VPS35,Q96QK1,1,NA,NA
PARK7,Q99497,1,NA,NA
MAPK3,Q9BWJ1,1,NA,NA
PINK1,Q9BXM7,1,NA,NA
PPARGC1A,Q9UBK2,1,NA,NA
HEL-S-67p,V9HWC2,1,NA,NA
HEL-S-44,V9HWC9,1,NA,NA
HEL-S-22,V9HWE9,1,NA,NA
GSTM1,X5D932,1,NA,NA
GSTM1,X5DR03,1,NA,NA
