Molecule ChEMBL ID,Molecule Name,pChEMBL Value,Target ChEMBL ID,Target Name
CHEMBL1017,TELMISARTAN,9.48,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor
CHEMBL1023,BEXAROTENE,8.57,CHEMBL2061,Retinoid X receptor alpha
CHEMBL103,PROGESTERONE,10.0,CHEMBL208,Progesterone receptor
CHEMBL10316,IDAZOXAN,8.15,CHEMBL1867,Alpha-2a adrenergic receptor
CHEMBL106,FLUCONAZOLE,6.3,CHEMBL1293235,Prelamin-A/C
CHEMBL1064,SIMVASTATIN,9.05,CHEMBL402,HMG-CoA reductase
CHEMBL1076903,VARENICLINE,7.04,CHEMBL1882,Neuronal acetylcholine receptor protein alpha-4 subunit
CHEMBL1083390,INTEPIRDINE,9.78,CHEMBL3371,Serotonin 6 (5-HT6) receptor
CHEMBL1083659,SUVOREXANT,9.46,CHEMBL4792,Orexin receptor 2
CHEMBL109,VALPROIC ACID,7.0,CHEMBL231,Histamine H1 receptor
CHEMBL1112,ARIPIPRAZOLE,9.7,CHEMBL217,Dopamine D2 receptor
CHEMBL111456,,5.4,CHEMBL260,MAP kinase p38 alpha
CHEMBL112797,SGS-742,4.21,CHEMBL3561,GABA receptor rho-1 subunit
CHEMBL11298,SERINE,4.42,CHEMBL220,Acetylcholinesterase
CHEMBL113,CAFFEINE,9.22,CHEMBL218,Cannabinoid CB1 receptor
CHEMBL1131,ACITRETIN,5.5,CHEMBL1293232,Survival motor neuron protein
CHEMBL1140,NIACINAMIDE,5.92,CHEMBL4462,NAD-dependent deacetylase sirtuin 2
CHEMBL116438,CURCUMIN,9.68,CHEMBL2487,Amyloid-beta A4 protein
CHEMBL118,CELECOXIB,9.33,CHEMBL230,Cyclooxygenase-2
CHEMBL119385,NEFLAMAPIMOD,8.55,CHEMBL260,MAP kinase p38 alpha
CHEMBL1200775,LEUPROLIDE ACETATE,4.1,CHEMBL5748,Canalicular multispecific organic anion transporter 1
CHEMBL1200806,NAPROXEN SODIUM,8.55,CHEMBL1293235,Prelamin-A/C
CHEMBL1200904,SELEGILINE HYDROCHLORIDE,8.18,CHEMBL2039,Monoamine oxidase B
CHEMBL1201066,VENLAFAXINE HYDROCHLORIDE,7.44,CHEMBL228,Serotonin transporter
CHEMBL1201168,ISOCARBOXAZID,5.5,CHEMBL1293235,Prelamin-A/C
CHEMBL1201774,SAPROPTERIN,5.95,CHEMBL3568,"Nitric-oxide synthase, brain"
CHEMBL121,ROSIGLITAZONE,9.0,CHEMBL235,Peroxisome proliferator-activated receptor gamma
CHEMBL122,ROFECOXIB,9.0,CHEMBL230,Cyclooxygenase-2
CHEMBL1222251,INOSITOL,5.0,CHEMBL1293235,Prelamin-A/C
CHEMBL1255901,HUPERZINE A,9.27,CHEMBL220,Acetylcholinesterase
CHEMBL1256786,FORMOTEROL,9.72,CHEMBL210,Beta-2 adrenergic receptor
CHEMBL1276308,MIFEPRISTONE,10.68,CHEMBL208,Progesterone receptor
CHEMBL1277001,MIBAMPATOR,6.82,CHEMBL3190,"Glutamate receptor ionotropic, AMPA 4"
CHEMBL1303,ROTIGOTINE,10.22,CHEMBL217,Dopamine D2 receptor
CHEMBL134713,GTS-21,6.8,CHEMBL2492,Neuronal acetylcholine receptor protein alpha-7 subunit
CHEMBL135,ESTRADIOL,11.34,CHEMBL206,Estrogen receptor alpha
CHEMBL1364,PYRIDOXINE,4.9,CHEMBL1293226,Lysine-specific demethylase 4D-like
CHEMBL1373,MODAFINIL,8.74,CHEMBL1293235,Prelamin-A/C
CHEMBL1378,THIETHYLPERAZINE,8.51,CHEMBL234,Dopamine D3 receptor
CHEMBL1406148,TRICAPRILIN,7.75,CHEMBL1293235,Prelamin-A/C
CHEMBL141,LAMIVUDINE,5.45,CHEMBL1293224,Microtubule-associated protein tau
CHEMBL14249,ADENOSINE TRIPHOSPHATE,8.3,CHEMBL1293235,Prelamin-A/C
CHEMBL1464,WARFARIN,8.06,CHEMBL1930,Vitamin k epoxide reductase complex subunit 1 isoform 1
CHEMBL146624,MITOGLITAZONE,6.18,CHEMBL235,Peroxisome proliferator-activated receptor gamma
CHEMBL1485,ARGININE,6.6,CHEMBL3251,Nuclear factor NF-kappa-B p105 subunit
CHEMBL149082,TRAMIPROSATE,4.0,CHEMBL2487,Amyloid-beta A4 protein
CHEMBL1503,OMEPRAZOLE,5.85,CHEMBL1293232,Survival motor neuron protein
CHEMBL1508,ESCITALOPRAM,9.0,CHEMBL228,Serotonin transporter
CHEMBL1536,ERGOCALCIFEROL,5.08,CHEMBL206,Estrogen receptor alpha
CHEMBL154,NAPROXEN,7.18,CHEMBL221,Cyclooxygenase-1
CHEMBL154111,SALSALATE,4.75,CHEMBL1293255,15-hydroxyprostaglandin dehydrogenase [NAD+]
CHEMBL1555,GALANTAMINE HYDROBROMIDE,5.58,CHEMBL220,Acetylcholinesterase
CHEMBL1569487,LORNOXICAM,5.12,CHEMBL6020,Bile salt export pump
CHEMBL157101,KETOCONAZOLE,9.0,CHEMBL340,Cytochrome P450 3A4
CHEMBL1581,PERINDOPRIL,8.82,CHEMBL1808,Angiotensin-converting enzyme
CHEMBL1617,RIFAXIMIN,5.66,CHEMBL3401,Pregnane X receptor
CHEMBL1622,FOLIC ACID,5.1,CHEMBL1963,Thyroid stimulating hormone receptor
CHEMBL165,RESVERATROL,9.22,CHEMBL284,Dipeptidyl peptidase IV
CHEMBL1678,DONEPEZIL HYDROCHLORIDE,7.94,CHEMBL220,Acetylcholinesterase
CHEMBL1699,MEMANTINE HYDROCHLORIDE,8.66,CHEMBL1293235,Prelamin-A/C
CHEMBL1702,ATOMOXETINE HYDROCHLORIDE,7.7,CHEMBL222,Norepinephrine transporter
