Molecule ChEMBL ID,Molecule Name,pChEMBL Value,Target ChEMBL ID,Target Name,Smiles
CHEMBL1017,TELMISARTAN,9.48,CHEMBL4607,Angiotensin II type 2 (AT-2) receptor,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
CHEMBL1023,BEXAROTENE,8.57,CHEMBL2061,Retinoid X receptor alpha,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL103,PROGESTERONE,10.0,CHEMBL208,Progesterone receptor,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL10316,IDAZOXAN,8.15,CHEMBL1867,Alpha-2a adrenergic receptor,c1ccc2c(c1)OCC(C1=NCCN1)O2
CHEMBL106,FLUCONAZOLE,6.3,CHEMBL1293235,Prelamin-A/C,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL1064,SIMVASTATIN,9.05,CHEMBL402,HMG-CoA reductase,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL1076903,VARENICLINE,7.04,CHEMBL1882,Neuronal acetylcholine receptor protein alpha-4 subunit,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1
CHEMBL1083390,INTEPIRDINE,9.78,CHEMBL3371,Serotonin 6 (5-HT6) receptor,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1
CHEMBL1083659,SUVOREXANT,9.46,CHEMBL4792,Orexin receptor 2,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1
CHEMBL109,VALPROIC ACID,7.0,CHEMBL231,Histamine H1 receptor,CCCC(CCC)C(=O)O
CHEMBL1112,ARIPIPRAZOLE,9.7,CHEMBL217,Dopamine D2 receptor,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL111456,,5.4,CHEMBL260,MAP kinase p38 alpha,C[S+]([O-])c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL112797,SGS-742,4.21,CHEMBL3561,GABA receptor rho-1 subunit,CCCCP(=O)(O)CCCN
CHEMBL11298,SERINE,4.42,CHEMBL220,Acetylcholinesterase,N[C@@H](CO)C(=O)O
CHEMBL113,CAFFEINE,9.22,CHEMBL218,Cannabinoid CB1 receptor,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CHEMBL1131,ACITRETIN,5.5,CHEMBL1293232,Survival motor neuron protein,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
CHEMBL1140,NIACINAMIDE,5.92,CHEMBL4462,NAD-dependent deacetylase sirtuin 2,NC(=O)c1cccnc1
CHEMBL116438,CURCUMIN,9.68,CHEMBL2487,Amyloid-beta A4 protein,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
CHEMBL118,CELECOXIB,9.33,CHEMBL230,Cyclooxygenase-2,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL119385,NEFLAMAPIMOD,8.55,CHEMBL260,MAP kinase p38 alpha,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
CHEMBL1200775,LEUPROLIDE ACETATE,4.1,CHEMBL5748,Canalicular multispecific organic anion transporter 1,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
CHEMBL1200806,NAPROXEN SODIUM,8.55,CHEMBL1293235,Prelamin-A/C,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL1200904,SELEGILINE HYDROCHLORIDE,8.18,CHEMBL2039,Monoamine oxidase B,C#CCN(C)[C@H](C)Cc1ccccc1.Cl
CHEMBL1201066,VENLAFAXINE HYDROCHLORIDE,7.44,CHEMBL228,Serotonin transporter,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl
