UniProt,CrystalStructureCount
A0A003,2
A0A009PZ93,1
A0A010,7
A0A011,5
A0A014M399,1
A0A015K8Z8,1
A0A017T5A5,1
A0A022MQ12,5
A0A022MRT4,5
A0A023DFE8,10
A0A023GPI5,1
A0A023GPI8,3
A0A023GPJ0,1
A0A023GUL3,2
A0A023GUN4,1
A0A023H437,2
A0A023I7E1,2
A0A023J4Z7,1
A0A023J6X7,1
A0A023L7J3,1
A0A023LLI1,1
A0A023NA98,1
A0A023PKG5,1
A0A023PU38,1
A0A023R6W2,2
A0A023T3X2,1
A0A023UGN9,15
A0A023VSF1,1
A0A023X3Z4,1
A0A024B5J2,2
A0A024B7W1,26
A0A024CWJ7,3
A0A024E3Q2,5
A0A024FRL9,2
A0A024H8G7,2
A0A024L327,1
A0A024QYS6,2
A0A024S820,3
A0A024SC78,3
A0A024UZE1,5
A0A024V0B1,3
A0A024WGN3,1
A0A024X378,4
A0A031LXI5,1
A0A031WDA8,1
A0A031WDE4,1
A0A031WIF2,1
A0A051TYQ1,1
A0A059PIQ0,46
A0A059PIR9,2
A0A059Q1L6,1
A0A059Q5E8,1
A0A059STC4,1
A0A059T4A1,7
A0A059T9V1,1
A0A059TC02,2
A0A059TXD8,1
A0A059U759,2
A0A059VAZ3,4
A0A059VBQ9,1
A0A059VJE6,1
A0A059WF38,1
A0A059WLS9,13
A0A059WV44,1
A0A059WYP6,3
A0A059WZ16,5
A0A059X981,3
A0A059ZFC5,3
A0A059ZJE9,2
A0A059ZPG7,1
A0A059ZRB8,3
A0A060GPP4,1
A0A060GPQ0,1
A0A060GPQ5,1
A0A060GSW0,1
A0A060GSW5,1
A0A060GSX0,2
A0A060GTM0,1
A0A060GTM7,1
A0A060GYS1,5
A0A060GYS7,7
A0A060GZX0,4
A0A060GZX7,1
A0A060H1D7,3
A0A060M4R1,1
A0A060N399,2
A0A060P168,7
A0A060SC37,6
A0A060TAG5,2
A0A060VGH4,1
A0A060VRI4,1
A0A060Y6X8,1
A0A061ACU2,1
A0A061FLD4,1
A0A061IH64,1
A0A061LQM0,2
A0A062UZ78,3
A0A062V290,3
A0A062WLD9,1
A0A063Y6V3,1
A0A064C3N8,1
A0A066Q637,1
A0A066QL39,2
A0A066T6R7,1
A0A066TYR3,1
A0A066ZR71,1
A0A067E666,4
A0A067HWN0,1
A0A067N4E7,2
A0A067NAT9,1
A0A067SLB9,3
A0A067XG63,1
A0A067XG64,1
A0A067XG66,1
A0A067XG67,1
A0A067XG70,1
A0A067XG71,1
A0A067XG73,1
A0A067XG75,2
A0A067XIQ6,2
A0A067Y7N7,5
A0A067YX61,6
A0A068A5A2,1
A0A068C8U8,2
A0A068EGP0,2
A0A068F6N5,1
A0A068FT77,1
A0A068PC91,1
A0A068PS59,6
A0A068QT41,1
A0A068QVX9,1
A0A068QW34,1
A0A068QWX2,1
A0A068QZ94,1
A0A069A654,3
A0A069AL86,1
A0A069B2G5,1
A0A069CUU9,1
A0A069Q0R8,5
A0A069Q1D5,1
A0A069Q6I8,1
A0A071KWR3,1
A0A071LDC0,7
