Gene,ChEMBLTargetID,UniProt,GeneFullName,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,geneNcbiID,geneNcbiType,ModulatorCount,ModulatorScore_Global,ModulatorScore_q95,ModulatorScore_Local,CrystalStructureCount,CrystalScore_Global,CrystalScore_q95,CrystalScore_Local,Category,coverage_percent,CSS_Avg,CSS_Final,CSS_Final_Rank,TS
MAOB,CHEMBL2039,"B7Z242,P27338",monoamine oxidase B,R-HSA-1430728,Metabolism,,1.0,4129,protein-coding,1533.0,0.24202715503631198,1.0,0.29266895761741124,50.0,0.045787545787545784,1.0,0.45871559633027525,Mid-range or all low,95.99,0.501501047372607,0.45871559633027525,4.0,0.8184965733084529
LRRK2,CHEMBL1075104,"Q17RV3,Q5S007",leucine rich repeat kinase 2,R-HSA-162582,Signal Transduction,Kinase,1.0,120892,protein-coding,1917.0,0.3026523523839596,1.0,0.36597938144329895,8.0,0.007326007326007326,0.25806451612903225,0.07339449541284404,High GDA+Mod,33.67,0.11292833962262787,0.02471192660550459,13.0,0.7786448746151046
MAPT,CHEMBL1293224,"B3KTM0,P10636",microtubule associated protein tau,"R-HSA-112316,R-HSA-168256,R-HSA-5357801","Neuronal System,Immune System,Programmed Cell Death",,1.0,4137,protein-coding,1748.0,0.2759709504262709,1.0,0.3337151584574265,42.0,0.038461538461538464,1.0,0.3853211009174312,Mid-range or all low,0.0,0.47459421312632327,0.0,20.0,0.7733309086693995
SLC6A3,CHEMBL238,Q01959,solute carrier family 6 member 3,"R-HSA-112316,R-HSA-1643685,R-HSA-382551","Neuronal System,Disease,Transport of small molecules",Transporter,0.95,6531,protein-coding,1588.0,0.25071045153141774,1.0,0.3031691485299733,,0.0,0.0,0.0,Mid-range or all low,86.71,0.0,0.0,20.0,0.7416769484104968
AKT1,CHEMBL4282,"P31749,B3KVH4,B0LPE5",AKT serine/threonine kinase 1,"R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-5653656,R-HSA-74160,R-HSA-8953854,R-HSA-8953897","Hemostasis,Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription),Metabolism of RNA,Cellular responses to stimuli",Kinase,0.9,207,protein-coding,2196.0,0.3467003473318598,1.0,0.41924398625429554,31.0,0.028388278388278388,1.0,0.28440366972477066,Mid-range or all low,48.25,0.437597316037683,0.13722477064220184,7.0,0.729820024770031
DRD2,CHEMBL217,P14416,dopamine receptor D2,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.9,1813,protein-coding,5238.0,0.8269655825702558,1.0,1.0,1.0,0.0009157509157509158,0.03225806451612903,0.009174311926605505,Mid-range or all low,40.2,0.014116042452828484,0.0036880733944954134,19.0,0.7172027392983115
GBA1,CHEMBL2179,"B7Z6S9,P04062,A0A068F658",glucosylceramidase beta 1,"R-HSA-1430728,R-HSA-392499","Metabolism,Metabolism of proteins",,1.0,2629,protein-coding,176.0,0.02778654878433849,0.13247026945657076,0.03360061092019855,47.0,0.04304029304029304,1.0,0.43119266055045874,Mid-range or all low,92.54,0.4914109845302506,0.43119266055045874,5.0,0.5476318909278762
PARK7,CHEMBL5169188,"Q99497,V9HWC2",Parkinsonism associated deglycase,"R-HSA-392499,R-HSA-9612973","Metabolism of proteins,Autophagy",Enzyme,1.0,11315,protein-coding,9.0,0.001420903062835491,0.006774047869938277,0.001718213058419244,82.0,0.07509157509157509,1.0,0.7522935779816514,High GDA+CSS,99.47,0.6091283843577422,0.7522935779816514,2.0,0.5257634955287576
SNCA,CHEMBL6152,"P37840,H6UYS5",synuclein alpha,"R-HSA-168256,R-HSA-392499","Immune System,Metabolism of proteins",Transporter,1.0,6622,protein-coding,199.0,0.03141774550047363,0.14978172512419077,0.03799159984726995,14.0,0.01282051282051282,0.45161290322580644,0.12844036697247707,Mid-range or all low,41.18,0.19762459433959878,0.05289174311926606,8.0,0.5135741184322932
NOS1,CHEMBL3568,"B3VK56,B4DG68,A0PJJ7,P29475",nitric oxide synthase 1,"R-HSA-109582,R-HSA-168256,R-HSA-397014","Hemostasis,Immune System,Muscle contraction",,0.85,4842,protein-coding,413.0,0.06520366277233976,0.31085353003161204,0.07884688812523864,86.0,0.07875457875457875,1.0,0.7889908256880734,"Low GDA, High CSS",27.55,0.622581801480884,0.21736697247706424,6.0,0.5081394339890933
